Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
110.58,2017-06-17,2017-06-16,99.522,110.58,SGA100167350104,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
108.38,2017-06-17,2017-06-16,97.542,108.38,SRT100167110279,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
34.47,2017-06-17,2017-06-16,31.023,34.47,VRT100167470052,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,RS0,
126.84,2017-06-17,2017-06-16,114.156,126.84,SNC100167830103,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
5.72,2017-06-17,2017-06-16,5.148,5.72,SNC100167830186,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
0.0,2019-05-25,2019-05-24,0.0,0.0,039106093,AMERISOURCEBERGEN DRUG CORPORATION,GA,BUFORD,30518,USA,BUFORD,GA,30518,USA,
87.92,2017-06-17,2017-06-16,79.128,87.92,AIR100165690236,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Eden Prairie,MN,553443417,RE0,
10078.16,2017-06-17,2017-06-16,9070.344,10078.16,ARR100165580151,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Eden Prairie,MN,553443417,RE0,
68.2,2017-06-17,2017-06-16,61.38,68.2,ARR100165580406,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Eden Prairie,MN,553443417,RE0,
3011.48,2017-06-17,2017-06-16,2710.332,3011.48,WGC100140280065,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
1751.12,2017-06-17,2017-06-16,1576.0079999999998,1751.12,WGC100140280093,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
142.35,2019-05-24,2019-05-23,128.115,142.35,HFL100200640008,H D SMITH POMPANO BEACH-FL,FL,POMPANO BEACH,33069,USA,Pompano Beach,FL,33069,USA,
